Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2017-08-07,706.45,713.6,705.0,710.6,708.3,619.0,79.0,438439.0,236.0,38.13,8.6,4.15
2017-08-04,713.0,717.65,709.7,711.75,711.82,503.0,53.0,358043.0,278.0,55.27,7.95,-1.25
2017-08-03,715.0,717.45,710.6,712.05,712.86,808.0,78.0,575992.0,442.0,54.7,6.85,-2.95
2017-08-02,706.1,726.0,706.1,715.0,718.78,6131.0,196.0,4406810.0,882.0,14.39,19.9,8.9
2017-08-01,725.0,734.0,705.0,714.75,713.75,2200.0,188.0,1570240.0,1132.0,51.45,29.0,-10.25
2017-07-31,720.1,728.0,713.7,716.9,722.75,2562.0,194.0,1851693.0,504.0,19.67,14.3,-3.2
2017-07-28,714.0,736.7,709.0,722.5,723.71,3022.0,267.0,2187046.0,1105.0,36.57,27.7,8.5
2017-07-27,722.55,722.55,715.0,716.05,716.74,677.0,77.0,485232.0,282.0,41.65,7.55,-6.5
2017-07-26,723.0,728.0,713.9,723.65,722.36,1125.0,98.0,812652.0,524.0,46.58,14.1,0.65
2017-07-25,715.0,727.9,700.0,723.25,711.18,2206.0,184.0,1568857.0,725.0,32.86,27.9,8.25
2017-07-24,722.2,729.2,708.0,711.5,716.91,1516.0,207.0,1086842.0,786.0,51.85,21.2,-10.7
2017-07-21,724.0,726.0,718.0,722.2,722.81,1528.0,132.0,1104453.0,553.0,36.19,8.0,-1.8
2017-07-20,732.85,735.65,720.05,724.2,725.28,1359.0,162.0,985651.0,587.0,43.19,15.6,-8.65
2017-07-19,724.3,735.1,722.0,728.25,727.54,2086.0,163.0,1517651.0,376.0,18.02,13.1,3.95
2017-07-18,722.0,729.95,722.0,724.0,725.01,794.0,77.0,575655.0,288.0,36.27,7.95,2.0
2017-07-17,739.3,739.5,722.0,724.55,725.08,1815.0,62.0,1316023.0,141.0,7.77,17.5,-14.75
2017-07-14,736.0,736.0,718.0,722.35,724.22,2128.0,169.0,1541143.0,461.0,21.66,18.0,-13.65
2017-07-13,747.1,747.1,726.95,729.6,737.0,2655.0,172.0,1956731.0,1293.0,48.7,20.15,-17.5
2017-07-12,741.8,752.8,734.15,743.9,741.18,4311.0,251.0,3195215.0,1792.0,41.57,18.65,2.1
2017-07-11,742.0,747.4,735.2,737.8,739.26,959.0,55.0,708946.0,708.0,73.83,12.2,-4.2
2017-07-10,748.0,748.0,735.0,740.0,739.27,1059.0,99.0,782885.0,888.0,83.85,13.0,-8.0
2017-07-07,740.0,743.8,727.5,739.35,739.95,1481.0,142.0,1095863.0,689.0,46.52,16.3,-0.65
2017-07-06,735.3,745.0,732.4,735.8,737.96,2724.0,175.0,2010215.0,898.0,32.97,12.6,0.5
2017-07-05,738.0,744.5,734.3,738.15,739.93,1040.0,120.0,769523.0,233.0,22.4,10.2,0.15
2017-07-04,760.0,761.1,735.0,739.35,744.67,2194.0,229.0,1633796.0,779.0,35.51,26.1,-20.65
2017-07-03,719.85,772.95,719.75,753.0,746.1,13430.0,999.0,10020101.0,4354.0,32.42,53.2,33.15
2017-06-30,714.0,738.95,705.1,728.75,724.82,5461.0,496.0,3958236.0,1221.0,22.36,33.85,14.75
2017-06-29,721.5,730.05,718.25,721.55,723.41,2059.0,230.0,1489502.0,920.0,44.68,11.8,0.05
2017-06-28,715.25,725.0,710.25,718.1,717.18,1613.0,143.0,1156814.0,789.0,48.92,14.75,2.85
2017-06-27,715.0,717.35,693.05,711.05,708.73,2025.0,193.0,1435182.0,719.0,35.51,24.3,-3.95
2017-06-23,723.85,723.9,702.9,715.4,714.37,2162.0,288.0,1544465.0,593.0,27.43,21.0,-8.45
