Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2018-12-19,251.0,258.2,250.6,254.7,254.68,148005.0,1794.0,37693247.0,18107.0,12.23,7.6,3.7
2018-12-18,242.0,255.0,236.1,250.45,249.66,410188.0,5131.0,102406350.0,41875.0,10.21,18.9,8.45
2018-12-17,244.95,249.65,239.25,242.25,244.29,131741.0,1935.0,32183522.0,18417.0,13.98,10.4,-2.7
2018-12-14,240.0,244.6,237.95,241.1,241.23,150749.0,2417.0,36364829.0,25759.0,17.09,6.65,1.1
2018-12-13,233.0,252.45,231.05,245.85,246.91,604602.0,7226.0,149281519.0,44099.0,7.29,21.4,12.85
2018-12-12,222.0,228.8,220.75,227.35,224.87,150870.0,1967.0,33926688.0,12049.0,7.99,8.05,5.35
2018-12-11,213.0,223.3,213.0,217.8,217.12,289707.0,4422.0,62900309.0,29293.0,10.11,10.3,4.8
2018-12-10,208.0,217.9,208.0,213.7,213.4,73288.0,1015.0,15639552.0,8429.0,11.5,9.9,5.7
2018-12-07,221.0,221.0,213.8,215.85,216.31,80571.0,1030.0,17428403.0,11149.0,13.84,7.2,-5.15
2018-12-06,219.0,222.7,215.9,218.2,218.61,156833.0,2102.0,34285034.0,14051.0,8.96,6.8,-0.8
2018-12-05,229.9,233.75,218.25,224.55,226.88,224205.0,3484.0,50867236.0,14270.0,6.36,15.5,-5.35
2018-12-04,218.6,237.95,218.4,231.55,231.54,468683.0,6272.0,108520404.0,47594.0,10.15,19.55,12.95
2018-12-03,218.75,220.25,214.5,218.6,216.82,95027.0,1254.0,20603857.0,30189.0,31.77,5.75,-0.15
2018-11-30,220.0,223.2,216.45,217.9,219.76,128690.0,1536.0,28281403.0,10991.0,8.54,6.75,-2.1
2018-11-29,220.05,221.3,214.2,217.2,217.4,55778.0,912.0,12126135.0,7198.0,12.9,7.1,-2.85
2018-11-28,220.75,222.4,216.05,218.7,219.3,49297.0,803.0,10810965.0,8425.0,17.09,6.35,-2.05
2018-11-27,215.8,224.0,215.0,220.35,219.93,140708.0,1744.0,30945519.0,26283.0,18.68,9.0,4.55
2018-11-26,218.7,221.0,209.85,216.15,215.01,152754.0,2033.0,32844343.0,10410.0,6.81,11.15,-2.55
2018-11-22,219.5,225.75,216.6,218.25,221.24,81117.0,1423.0,17946559.0,9125.0,11.25,9.15,-1.25
2018-11-21,218.0,221.3,216.1,220.65,219.44,86464.0,1115.0,18973673.0,13051.0,15.09,5.2,2.65
2018-11-20,230.5,231.9,215.1,217.25,222.98,157550.0,2628.0,35131029.0,28195.0,17.9,16.8,-13.25
